Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"EVE 50PL 21700 5000mAh 50A Battery","This'll power the drone through its flight. I decided to buy Li-ion batteries and manually connect 3 to make a 3S cell to make a 5000mAh 3S battery pack. This'll help the drone fly longer. I'm buying one extra just in case.",4,24.00,"https://www.18650batterystore.com/products/eve-50pl-21700-5000mah-50a-battery?variant=46405896798359","18650 Battery Store"
"JLCPCB Order + Shipping","I'll be manufacturing my custom PCB from JLCPCB.",1,4.30,"https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010","JLCPCB"
"Male & Female Headers","It'll be used to connect things on the PCB.",1,3.82,"https://www.aliexpress.us/item/3256805860047704.html?spm=a2g0o.cart.0.0.347038daeMTzKz&mp=1&pdp_npi=6%40dis%21USD%21USD%202.56%21USD%202.48%21%21USD%202.48%21%21%21%40210311a017759634443543759ee48c%2112000035473388533%21ct%21US%212842570567%21%211%210%21&_gl=1*hb3qht*_gcl_aw*R0NMLjE3NzU5NjE3NjQuQ2p3S0NBanc0dWZPQmhCa0Vpd0FmdUM3LVN4Wk1VVThydWVYUFUtRldvTkVNRkdlU1g5UkxIbzBkY1JpdmRNRlpicjZjYzA5cVpvUTNCb0Nxb3dRQXZEX0J3RQ..*_gcl_au*MTA5ODg3MDg0OS4xNzc0MTUwMTU1*_ga*MTgzMDIyMjAwNi4xNzc1OTYyMjM1*_ga_VED1YSGNC7*czE3NzU5NjIyMzQkbzEkZzEkdDE3NzU5NjM0NTAkajIzJGwwJGgw&gatewayAdapt=glo2usa","AliExpress"
"XT90 Male to XT60 Female connector for battery","This converts the XT90 on the battery to XT60 so it can be connected to the PCB.",1,1.00,"https://www.aliexpress.us/item/3256809870073827.html?spm=a2g0o.productlist.main.2.6ec677250MQCzi&algo_pvid=cdafdfe4-f998-4543-be9e-b0735b928c6e&algo_exp_id=cdafdfe4-f998-4543-be9e-b0735b928c6e-1&pdp_ext_f=%7B%22order%22%3A%22124%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.54%210.99%21%21%2179.06%216.79%21%402103212317741506875214915ecc89%2112000050973827105%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Af626b5c8%3Bm03_new_user%3A-29895%3BpisId%3A5000000197847475&curPageLogUid=TNcZo29qJmvN&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010056388579%7C_p_origin_prod%3A","AliExpress"
"Drone Frame","This will be the frame that I will be doing all the testing on. I'll have to ship it to my location.",1,5.00,"https://github.com/hackclub/print-legion","Hack Club legion"
"1400KV Brushless Motors","These will be the motors that generate lift for the drone. ",4,33.40,"https://www.robotshop.com/products/e-s-motor-xxd-a2212-brushless-motor-160w-mounting-base-kits-kv-1400?qd=f82c3b340c3f619c5c40ab447d536a69","Robotshop"
"Raspberry PI 4 4GB","This will be used to connect the usb camera and for video transmission. I already have this, so I will not need to buy it.",1,0.00,"https://www.centralcomputer.com/raspberry-pi-4-model-b-rpi4-modbp-4gb-4gb-ddr4-ram-bcm2711-soc-usb-3-0-poe-enabled.html","Central Computers"
"Arduino Nano","This will be running the flight software and controlling the motors. I already have this, so I will not need to buy it.",1,0.00,"https://www.aliexpress.us/item/3256809956121978.html?aem_p4p_detail=2026061807213415670671290773640000102442&algo_pvid=3fc0e9e0-2e6c-470b-8047-724649fb7564&algo_exp_id=3fc0e9e0-2e6c-470b-8047-724649fb7564-3&pdp_ext_f=%7B%22order%22%3A%222454%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.74%212.32%21%21%2125.14%2115.59%21%402103128817817924947762687ecb01%2112000051298773766%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3fe947d3%3Bm03_new_user%3A-29895&curPageLogUid=GvMORCvxgsTu&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010142436730%7C_p_origin_prod%3A&search_p4p_id=2026061807213415670671290773640000102442_1","Aliexpress"
"GY-91 Board with both MPU-9250 & BMP180","This will the the 9 Axis Flight Controller for the drone (Gyroscope, Accelerometer, Magnetometer, Altometer)",1,6.34,"https://www.aliexpress.us/item/3256810419378175.html?spm=a2g0o.productlist.main.5.666b2322l9xEzg&algo_pvid=7fd4cfff-d2cf-4cf7-afad-2ea0b819e83e&algo_exp_id=7fd4cfff-d2cf-4cf7-afad-2ea0b819e83e-4&pdp_ext_f=%7B%22order%22%3A%2249%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.21%216.34%21%21%217.21%216.34%21%402101ef5e17817925960768424e7f71%2112000058167636174%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3fe947d3%3Bm03_new_user%3A-29895&curPageLogUid=rwzrzHfS3o8g&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010605692927%7C_p_origin_prod%3A","Aliexpress"
"8x4.5 Inch RC Drone Propellers","These will be used on the brushless motors to provide lift for the drone. I am buying 8 pieces instead of 4 in case some breaks during testing.",1,0.92,"https://www.aliexpress.us/item/2251832730802090.html?spm=a2g0o.productlist.main.4.780ePWPrPWPrdV&algo_pvid=f486226a-b9b0-4b15-9514-1ad157b2ce74&algo_exp_id=f486226a-b9b0-4b15-9514-1ad157b2ce74-3&pdp_ext_f=%7B%22order%22%3A%22290%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.14%210.92%21%21%211.14%210.92%21%402103126e17817925437511508e4a1e%2165941027930%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A3fe947d3%3Bm03_new_user%3A-29895&curPageLogUid=cXlmlSlAPHTO&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32917116842%7C_p_origin_prod%3A","Aliexpress"
